 INFO  Accepting connections at http://localhost:3000
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 304 in 2 ms
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 304 in 2 ms
 HTTP  7/9/2026 6:26:06 PM ::1 GET /almaty/index.txt?name=%D0%90%D0%B2%D1%82%D0%BE%D1%82%D0%B5%D1%81%D1%82&phone=%2B7+701+123+4567&city=%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B&_rsc=hphzt
 HTTP  7/9/2026 6:26:06 PM ::1 GET /almaty/index.txt?_rsc=hphzt
 HTTP  7/9/2026 6:26:06 PM ::1 GET /almaty/detailing/index.txt?name=%D0%90%D0%B2%D1%82%D0%BE%D1%82%D0%B5%D1%81%D1%82&phone=%2B7+701+123+4567&city=%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B&_rsc=hphzt
 HTTP  7/9/2026 6:26:06 PM ::1 GET /almaty/cars/index.txt?name=%D0%90%D0%B2%D1%82%D0%BE%D1%82%D0%B5%D1%81%D1%82&phone=%2B7+701+123+4567&city=%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B&_rsc=hphzt
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 200 in 2 ms
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 200 in 5 ms
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 200 in 4 ms
 HTTP  7/9/2026 6:26:06 PM ::1 Returned 200 in 4 ms
